ID: mouse_acceleration             | HasGetState: True  | Aliases: "MouseAcceleration"
ID: raw_aim_curve                  | HasGetState: True  | Aliases: "RawAimCurve"
ID: keyboard_optimization          | HasGetState: False | Aliases: "Keyboard"
ID: visual_effects                 | HasGetState: False | Aliases: "VisualEffects"
ID: memory_optimization            | HasGetState: False | Aliases: "MemoryOptimization"
ID: transparency_effects           | HasGetState: False | Aliases: "TransparencyEffects"
ID: menu_show_delay                | HasGetState: False | Aliases: "MenuShowDelay"
ID: data_queue_sizes               | HasGetState: False | Aliases: "DataQueueSizes"
ID: network_optimization           | HasGetState: False | Aliases: "NetworkOptimization"
ID: dns_cloudflare                 | HasGetState: False | Aliases: "DnsCloudflare"
ID: dns_google                     | HasGetState: False | Aliases: "DnsGoogle"
ID: dns_cache                      | HasGetState: False | Aliases: "DnsCache"
ID: ecn_capability                 | HasGetState: False | Aliases: "EcnCapability"
ID: tcp_congestion                 | HasGetState: False | Aliases: "TcpCongestion"
ID: disable_lso                    | HasGetState: False | Aliases: "DisableLso"
ID: qos_prioritization             | HasGetState: False | Aliases: "QosPrioritization"
ID: tcp_autotuning                 | HasGetState: False | Aliases: "TcpAutoTuning"
ID: interrupt_moderation           | HasGetState: False | Aliases: "InterruptModeration"
ID: network_power                  | HasGetState: True  | Aliases: "NetworkPower"
ID: netbios                        | HasGetState: False | Aliases: "NetBios"
ID: do_solo_mode                   | HasGetState: True  | Aliases: "DOSoloMode"
ID: system_profile                 | HasGetState: False | Aliases: "SystemProfile"
ID: system_responsiveness          | HasGetState: False | Aliases: "SystemResponsiveness"
ID: connected_standby_disable      | HasGetState: True  | Aliases: "ConnectedStandby", "cs_enabled_disable", "ModernStandby"
ID: watchdog_disable               | HasGetState: True  | Aliases: "Watchdog", "watchdog_timer_disable"
ID: gamedvr_disable                | HasGetState: True  | Aliases: "GameDVR", "fso_game_dvr", "gamebar_disable", "GameBar"
ID: gpu_scheduling                 | HasGetState: True  | Aliases: "GpuScheduling"
ID: mpo_fix                        | HasGetState: True  | Aliases: "MPOFix"
ID: ultimate_power                 | HasGetState: True  | Aliases: "UltimatePower", "ultimate_power_plan", "core_power_plan"
ID: high_performance               | HasGetState: True  | Aliases: "HighPerformance", "high_performance_plan"
ID: power_throttling_disable       | HasGetState: True  | Aliases: "PowerThrottling"
ID: core_parking_disable           | HasGetState: False | Aliases: "CoreParking"
ID: core_isolation                 | HasGetState: True  | Aliases: "CoreIsolation"
ID: hpet_optimization              | HasGetState: False | Aliases: "HPET"
ID: hyperv_disable                 | HasGetState: False | Aliases: "HyperV"
ID: spectre_meltdown_disable       | HasGetState: False | Aliases: "SpectreMeltdown"
ID: text_input_host_disable        | HasGetState: False | Aliases: "TextInputHostDisable", "text_input_host"
ID: hvci_disable                   | HasGetState: False | Aliases: "HvciDisable", "hvci"
ID: interrupt_steering             | HasGetState: True  | Aliases: "InterruptSteering", "interrupt_steering_enable"
ID: gpu_irq_affinity               | HasGetState: False | Aliases: "GpuIRQAffinity", "gpu_irq"
ID: hibernation_disable            | HasGetState: True  | Aliases: "Hibernation", "hibernation_wipe", "hibernate_disable"
ID: windows_search_disable         | HasGetState: False | Aliases: "WindowsSearch"
ID: sysmain_disable                | HasGetState: False | Aliases: "SysMain"
ID: telemetry_disable              | HasGetState: False | Aliases: "Telemetry"
ID: diagtrack_disable              | HasGetState: False | Aliases: "DiagTrack"
ID: nvidia_low_latency_ultra       | HasGetState: False | Aliases: "NvidiaLowLatencyUltra"
ID: shader_cache_disable           | HasGetState: False | Aliases: "ShaderCacheDisable"
ID: gpu_hw_scheduling_v2           | HasGetState: False | Aliases: "GpuHwSchedulingV2"
ID: disable_ipv6                   | HasGetState: False | Aliases: "DisableIpv6"
ID: wasapi_exclusive_mode          | HasGetState: False | Aliases: "WasapiExclusiveMode"
ID: audio_enhancements_off         | HasGetState: False | Aliases: "AudioEnhancementsOff"
ID: ssd_write_cache                | HasGetState: False | Aliases: "SsdWriteCache"
ID: trim_optimization              | HasGetState: True  | Aliases: "TrimOptimization", "trim_force_on"
ID: ntfs_mft_zone                  | HasGetState: False | Aliases: "NtfsMftZone"
ID: irq_network_priority           | HasGetState: False | Aliases: "IrqNetworkPriority"
ID: nagle_algorithm_off            | HasGetState: False | Aliases: "NagleAlgorithmOff"
ID: cpu_affinity_auto_gaming       | HasGetState: False | Aliases: "CpuAffinityAutoGaming"
ID: cpu_anti_throttling            | HasGetState: False | Aliases: "CpuAntiThrottling"
ID: win32_priority                 | HasGetState: True  | Aliases: "Win32Priority"
ID: temp_files_cleanup             | HasGetState: False | Aliases: "TempFilesCleanup"
ID: win_update_cache               | HasGetState: False | Aliases: "WinUpdateCache"
ID: max_timer_resolution           | HasGetState: False | Aliases: "MaxTimerResolution"
ID: gpu_irq_priority               | HasGetState: True  | Aliases: "GpuIrqPriority", "GpuIRQ"
ID: network_throttling_disable     | HasGetState: False | Aliases: "NetworkThrottlingDisable"
ID: csrss_priority                 | HasGetState: False | Aliases: "CsrssPriority"
ID: gpu_irq_affinity               | HasGetState: True  | Aliases: "GpuIrqAffinity"
ID: text_input_host_disable        | HasGetState: False | Aliases: "TextInputHostDisable"
ID: hop_limit_opt                  | HasGetState: False | Aliases: "HopLimitOpt"
ID: hvci_disable                   | HasGetState: False | Aliases: "HvciDisable"
ID: dwm_latency_opt                | HasGetState: False | Aliases: "DwmLatencyOpt"
ID: nvme_antistutter               | HasGetState: False | Aliases: "NvmeAntiStutter"
ID: core_parking_disable           | HasGetState: False | Aliases: "CoreParkingDisable"
ID: flip_model_opt                 | HasGetState: False | Aliases: "FlipModelOpt"
ID: ethernet_eee_off               | HasGetState: False | Aliases: "EthernetEeeOff"
ID: kernel_paging_opt              | HasGetState: False | Aliases: "KernelPagingOpt"
ID: audio_low_latency              | HasGetState: False | Aliases: "AudioLowLatency"
ID: msi_mode_enable                | HasGetState: False | Aliases: "MsiModeEnable"
ID: memory_compression_off         | HasGetState: False | Aliases: "MemoryCompressionOff"
ID: hags_enable                    | HasGetState: False | Aliases: "HagsEnable"
ID: power_throttling_off           | HasGetState: False | Aliases: "PowerThrottlingOff"
ID: winutil_activity_feed          | HasGetState: True  | Aliases: "WinUtilActivityFeed"
ID: winutil_hibernation            | HasGetState: True  | Aliases: "WinUtilHibernation"
ID: winutil_end_task               | HasGetState: True  | Aliases: "WinUtilEndTask"
ID: winutil_wpbt                   | HasGetState: True  | Aliases: "WinUtilWpbt"
ID: winutil_location               | HasGetState: True  | Aliases: "WinUtilLocation"
ID: winutil_rdp_warnings           | HasGetState: False | Aliases: "WinUtilRdpWarnings"
ID: winutil_svchost_split          | HasGetState: True  | Aliases: "WinUtilSvcHostSplit"
ID: winutil_brave_debloat          | HasGetState: False | Aliases: "WinUtilBraveDebloat"
ID: winutil_edge_debloat           | HasGetState: False | Aliases: "WinUtilEdgeDebloat"
ID: winutil_remove_widgets         | HasGetState: False | Aliases: "WinUtilRemoveWidgets"
ID: game_shader_cache_clean        | HasGetState: False | Aliases: "GameShaderCacheClean", "ptu_shader_clean"
ID: game_profiles_latency          | HasGetState: False | Aliases: "GameProfilesLatency", "ptu_game_profiles"
ID: discord_gamer_optimization     | HasGetState: False | Aliases: "DiscordGamerOptimization", "ptu_discord"
ID: spotify_gamer_optimization     | HasGetState: False | Aliases: "SpotifyGamerOptimization", "ptu_spotify"
ID: browser_gamer_background       | HasGetState: False | Aliases: "BrowserGamerBackground", "ptu_browser_background"
ID: apex_gaming_power_plan         | HasGetState: False | Aliases: "ApexGamingPowerPlan", "ptu_apex_power"
ID: gpu_driver_telemetry_clean     | HasGetState: False | Aliases: "GpuDriverTelemetryClean", "ptu_gpu_telemetry"
ID: safe_mode_ddu_prep             | HasGetState: False | Aliases: "SafeModeDduPrep", "ptu_safe_mode"
ID: system_file_checker            | HasGetState: False | Aliases: "SystemFileChecker", "ptu_sfc_scan"
